wallet_address,address_type
0x312d2213a26d619e1e1e4ac232ea1672118bc4d4,Ethereum — Gnosis Safe
0x63c0d4bcae2e01e40ca046db22a5c666bdab1f80,Ethereum — Gnosis Safe
0xa2daadf581de3049748abe33119b44e9545bb544,Ethereum — Gnosis Safe
0xd842777b81eaaba03cbaf405df0379491359e354,Ethereum — Gnosis Safe
0xdbfff5d0b223ce78bf67eb4e9b747b2ea9dee608,Ethereum — Gnosis Safe
0x6bcbf81015df7812dc0a1c6f2cf623071a2980f8,Ethereum — Gnosis Safe
0xc34926b184d9c389dd92d8772088a888ef9f0dd0,Ethereum — Gnosis Safe
0x4126272ba14f7a124b1b98633678e0e5f87ec478,Ethereum — Gnosis Safe
0xaad9fdc82fe149a4c0afc842a66a61da7ccbba9c,Ethereum — Gnosis Safe
0x40c55b2f5dd18a8df8ef3b22ed777b9ebceec0fb,Ethereum — Gnosis Safe
0x5c1a078b2a1ca11bb15f5fbc73037d65c8ba73f5,Ethereum — Gnosis Safe
0x6cfbe9d0e474fbd7dc3d447ae5f562353ec9d6ba,Ethereum — Gnosis Safe
0x76fa82e3d38ceaecbb397828e1b6e650c83c13de,Ethereum — Gnosis Safe
0x7702ac167d397a729504128d3165fbc75c10e7ab,Ethereum — Gnosis Safe
0x7d2df5d335a1414e02a874e89b463a3225b6051b,Ethereum — Gnosis Safe
0x8799198df84e5dd8d788adbb3e986a222e3dd714,Ethereum — Gnosis Safe
0x976378445d31d81b15576811450a7b9797206807,Ethereum — Gnosis Safe
0xb92b3dd377c78d76660271bbcae3b291c4b0a731,Ethereum — Gnosis Safe
0x12bc061f01ce2ce82a1a5d986affe4dfb79261f6,Ethereum — Gnosis Safe
0x46b47468dd99b1f0f3939f1f46f48de169b39b21,Ethereum — Gnosis Safe
0xe97daa9677462ed47b53afdf534cca4203e2f84a,Ethereum — Gnosis Safe
0x026498ed6cc4c57e932a1a5b53447308aaf9c8ef,Ethereum — Gnosis Safe
0x10f238f2259ce32366d2fb8b65fad0a89ddf0dbb,Ethereum — Gnosis Safe
0x3eb429c6cf87ae18ab1e3e963021c1a64e54419c,Ethereum — Gnosis Safe
0x83a2fc8c7958422faa8a003e955751d696f546e1,Ethereum — Gnosis Safe
0xbdcc06cecbf69e9419e810d495dca05a44912c85,Ethereum — Gnosis Safe
0xbf8060106d2e83c106915a575baea3dc90c892a6,Ethereum — Gnosis Safe
0xd6d94a46eeef290888da0d7b1d2a470fde62d323,Ethereum — Gnosis Safe
0x1deb17a5848b77189815d9260c71fef7f3002dd9,Ethereum — Gnosis Safe
0x87ddd7a421dea4916101d60f0091aad42039beca,Ethereum — Other Smart Contract
