projectName,tokenAmount
AAVE,8301475.0
ABSTRACT FOUNDATION,5644020.0
BIGINT,1642050.0
CLAVE,5644020.0
CRONOS,5644020.0
CRYPTOMAZE,2452128.0
CURVE,5644020.0
DAPPAD,1642050.0
DERIVIO,1642050.0
DISTRIBUTED LAB,1642050.0
DUDIEZ,818537.0
EQUILIBRIUM GROUP,1642050.0
ETHENA,8301475.0
ETHERFI,5644020.0
FLUX FINANCE,2452128.0
FRAX FINANCE,5644020.0
GRVT,2452128.0
HEURIST,2452128.0
HOLDSTATION,2452128.0
HUE,818537.0
HYPERCOMIC,1642050.0
IZUMI FINANCE,2452128.0
KELPDAO,5644020.0
KGEN,2452128.0
KOI FINANCE,5644020.0
LAMBDACLASS,2452128.0
LENS,5644020.0
LIBERA,2452128.0
LIDO,8301475.0
LIGHTER,2452128.0
LONG,818537.0
LONG MAO,818537.0
MAVERICK PROTOCOL,5644020.0
MITHRAEUM,2452128.0
MOODY MIGHTS,818537.0
NODLE,5644020.0
PANCAKESWAP,2452128.0
PLAYFI,1642050.0
QUARKID,1642050.0
REACTORFUSION,2452128.0
RFX,2452128.0
SATORI FINANCE,1642050.0
SOB,818537.0
SOPHON,2452128.0
SPACEFI,2452128.0
SYNCSWAP,5644020.0
TEVAERA,2452128.0
TRALA,2452128.0
TXFUSION,2452128.0
VEGGIES GOTCHI,1642050.0
VELOCORE,1642050.0
VEST,2452128.0
WEBEARS,818537.0
XPLA,2452128.0
XRAISE,1642050.0
ZEEK,2452128.0
ZKCANDY,2452128.0
ZKEAGLES,818537.0
ZKLINK,1642050.0
ZKMARKETS,2452128.0
ZKPENGZ,818537.0
ZKSKULLS,818537.0
ZKSWAP FINANCE,5644020.0
ZKVEGGIES,818537.0
ZORRO,2452128.0
ZYFI,1642050.0
